Fecha,BBVA,Openbank,Cajamar,Otros,Total,Diferencia
2012-10-01,4025.0,0.0,0.0,1721.53,5746.53,0.0
2012-11-01,5025.0,0.0,0.0,683.02,5708.02,-38.50999999999931
2012-12-01,5025.0,0.0,0.0,432.93,5457.93,-250.09000000000015
2013-01-01,5025.0,0.0,0.0,507.22,5532.22,74.28999999999996
2013-02-01,5025.0,0.0,0.0,699.38,5724.38,192.15999999999985
2013-03-01,5025.0,0.0,0.0,904.39,5929.39,205.01000000000022
2013-04-01,5025.0,0.0,0.0,969.39,5994.39,65.0
2013-05-01,5025.0,0.0,0.0,1213.39,6238.39,244.0
2013-06-01,5025.0,0.0,0.0,1199.91,6224.91,-13.480000000000473
2013-07-01,5025.0,0.0,0.0,1364.91,6389.91,165.0
2013-08-01,5025.0,0.0,0.0,1590.51,6615.51,225.60000000000036
2013-09-01,5025.0,0.0,0.0,1788.53,6813.53,198.01999999999953
2013-10-01,5046.16,0.0,0.0,1959.53,7005.69,192.15999999999985
2013-11-01,5049.42,0.0,0.0,2309.43,7358.85,353.16000000000076
2013-12-01,5052.79,0.0,0.0,2970.02,8022.8099999999995,663.9599999999991
2014-01-01,5056.16,0.0,0.0,3513.02,8569.18,546.3700000000008
2014-02-01,5059.21,0.0,0.0,4094.39,9153.6,584.4200000000001
2014-03-01,9003.72,0.0,0.0,748.21,9751.93,598.3299999999999
2014-04-01,9009.53,0.0,0.0,952.26,9961.79,209.86000000000058
2014-05-01,9014.05,0.0,0.0,1576.35,10590.4,628.6099999999988
2014-06-01,9018.42,0.0,0.0,2241.05,11259.470000000001,669.0700000000015
2014-07-01,9022.94,0.0,0.0,2931.05,11953.990000000002,694.5200000000004
2014-08-01,9025.96,0.0,0.0,3136.35,12162.31,208.3199999999979
2014-09-01,2363.44,0.0,0.0,10000.0,12363.44,201.13000000000102
2014-10-01,2518.34,0.0,0.0,10000.0,12518.34,154.89999999999964
2014-11-01,2677.75,0.0,0.0,10000.0,12677.75,159.40999999999985
2014-12-01,2801.89,0.0,0.0,10040.0,12841.89,164.13999999999942
2015-01-01,2936.46,0.0,0.0,10130.0,13066.46,224.5699999999997
2015-02-01,3339.39,0.0,0.0,10170.0,13509.39,442.9300000000003
2015-03-01,3832.54,0.0,0.0,10210.0,14042.54,533.1500000000015
2015-04-01,4227.89,0.0,0.0,10250.0,14477.89,435.34999999999854
2015-05-01,4710.37,0.0,0.0,10290.0,15000.369999999999,522.4799999999996
2015-06-01,5261.35,0.0,0.0,10240.0,15501.35,500.9800000000014
2015-07-01,2468.22,0.0,0.0,14000.0,16468.22,966.8700000000008
2015-08-01,1368.54,0.0,0.0,15000.0,16368.54,-99.68000000000029
2015-09-01,1376.51,0.0,0.0,15000.0,16376.51,7.969999999999345
2015-10-01,871.27,0.0,0.0,16000.0,16871.27,494.7600000000002
2015-11-01,846.77,0.0,0.0,16500.0,17346.77,475.5
2015-12-01,965.37,0.0,0.0,17000.0,17965.37,618.5999999999985
2016-01-01,933.87,0.0,0.0,17500.0,18433.87,468.5
2016-02-01,963.54,0.0,0.0,18000.0,18963.54,529.6700000000019
2016-03-01,1386.64,0.0,0.0,18500.0,19886.64,923.0999999999985
2016-04-01,2327.23,0.0,0.0,18500.0,20827.23,940.5900000000001
2016-05-01,2438.05,0.0,0.0,20000.0,22438.05,1610.8199999999997
2016-06-01,1256.68,0.0,0.0,21000.0,22256.68,-181.36999999999898
2016-07-01,1649.73,0.0,0.0,21000.0,22649.73,393.0499999999993
2016-08-01,1245.87,0.0,0.0,22000.0,23245.87,596.1399999999994
2016-09-01,950.75,0.0,0.0,23000.0,23950.75,704.880000000001
2016-10-01,1540.36,0.0,0.0,23500.0,25040.36,1089.6100000000006
2016-11-01,810.82,0.0,0.0,25000.0,25810.82,770.4599999999991
2016-12-01,982.13,0.0,0.0,26000.0,26982.13,1171.3100000000013
2017-01-01,859.07,0.0,0.0,27000.0,27859.07,876.9399999999987
2017-02-01,850.57,0.0,0.0,27000.0,27850.57,-8.5
2017-03-01,876.91,0.0,0.0,27000.0,27876.91,26.340000000000146
2017-04-01,918.35,0.0,0.0,27000.0,27918.35,41.43999999999869
2017-05-01,973.94,0.0,0.0,27000.0,27973.94,55.590000000000146
2017-06-01,1592.98,0.0,0.0,27000.0,28592.98,619.0400000000009
2017-07-01,1882.26,0.0,0.0,27000.0,28882.26,289.27999999999884
2017-08-01,1329.47,0.0,0.0,28000.0,29329.47,447.21000000000276
2017-09-01,1860.17,0.0,0.0,28000.0,29860.17,530.6999999999971
2017-10-01,1543.82,0.0,0.0,29000.0,30543.82,683.6500000000015
2017-11-01,1652.23,0.0,0.0,29000.0,30652.23,108.40999999999985
2017-12-01,1651.95,0.0,0.0,30000.0,31651.95,999.7200000000012
2018-01-01,1361.24,0.0,0.0,31000.0,32361.24,709.2900000000009
2018-02-01,1367.58,0.0,0.0,31000.0,32367.58,6.3400000000001455
2018-03-01,1392.21,0.0,0.0,31000.0,32392.21,24.62999999999738
2018-04-01,1536.44,0.0,0.0,31000.0,32536.44,144.22999999999956
2018-05-01,1267.83,0.0,0.0,31000.0,32267.83,-268.60999999999694
2018-06-01,1270.29,0.0,0.0,31000.0,32270.29,2.459999999999127
2018-07-01,1812.01,0.0,0.0,31000.0,32812.01,541.7200000000012
2018-08-01,1778.66,0.0,0.0,32000.0,33778.66,966.6500000000015
2018-09-01,2483.73,0.0,0.0,32000.0,34483.73,705.0699999999997
2018-10-01,1844.52,0.0,0.0,34000.0,35844.52,1360.7899999999936
2018-11-01,1774.83,0.0,0.0,35000.0,36774.83,930.310000000005
2018-12-01,1792.42,0.0,0.0,36000.0,37792.42,1017.5899999999965
2019-01-01,1589.43,0.0,0.0,37000.0,38589.43,797.010000000002
2019-02-01,1767.16,0.0,0.0,38000.0,39767.16,1177.7300000000032
2019-03-01,1493.8,0.0,0.0,39000.0,40493.8,726.6399999999994
2019-04-01,1469.22,0.0,0.0,40000.0,41469.22,975.4199999999983
2019-05-01,1435.48,0.0,0.0,41000.0,42435.48,966.260000000002
2019-06-01,1720.78,0.0,0.0,41220.0,42940.78,505.29999999999563
2019-07-01,1572.05,0.0,0.0,43000.0,44572.05,1631.270000000004
2019-08-01,2364.05,0.0,0.0,43000.0,45364.05,792.0
2019-09-01,1195.15,0.0,0.0,45000.0,46195.15,831.0999999999985
2019-10-01,1212.24,0.0,0.0,46000.0,47212.24,1017.0899999999965
2019-11-01,1945.82,0.0,0.0,46000.0,47945.82,733.5800000000017
2019-12-01,1880.04,0.0,0.0,47000.0,48880.04,934.2200000000012
2020-01-01,1103.36,0.0,0.0,49000.0,50103.36,1223.3199999999997
2020-02-01,880.2,0.0,0.0,50000.0,50880.2,776.8399999999965
2020-03-01,1413.36,0.0,0.0,50000.0,51413.36,533.1600000000035
2020-04-01,1975.63,0.0,0.0,50000.0,51975.63,562.2699999999968
2020-05-01,2771.38,0.0,0.0,50000.0,52771.38,795.75
2020-06-01,701.64,0.0,0.0,53000.0,53701.64,930.260000000002
2020-07-01,505.83,0.0,0.0,54000.0,54505.83,804.1900000000023
2020-08-01,1359.54,0.0,0.0,54000.0,55359.54,853.7099999999991
2020-09-01,2370.18,0.0,0.0,54000.0,56370.18,1010.6399999999994
2020-10-01,2075.67,0.0,0.0,55000.0,57075.67,705.489999999998
2020-11-01,2738.63,0.0,0.0,55000.0,57738.63,662.9599999999991
2020-12-01,2645.21,0.0,0.0,55000.0,57645.21,-93.41999999999825
2021-01-01,2574.15,0.0,0.0,55000.0,57574.15,-71.05999999999767
2021-02-01,2505.15,0.0,0.0,55000.0,57505.15,-69.0
2021-03-01,2478.94,0.0,0.0,55000.0,57478.94,-26.209999999999127
2021-04-01,1282.19,0.0,0.0,58000.0,59282.19,1803.25
2021-05-01,1191.66,0.0,0.0,59000.0,60191.66,909.4700000000012
2021-06-01,939.06,0.0,0.0,60000.0,60939.06,747.3999999999942
2021-07-01,3379.11,0.0,0.0,60000.0,63379.11,2440.050000000003
2021-08-01,4550.14,0.0,0.0,60000.0,64550.14,1171.0299999999988
2021-09-01,1344.79,0.0,0.0,65000.0,66344.79,1794.6499999999942
2021-10-01,2101.05,0.0,0.0,65000.0,67101.05,756.2600000000093
2021-11-01,3123.13,0.0,0.0,65000.0,68123.13,1022.0800000000017
2021-12-01,3061.34,0.0,0.0,65000.0,68061.34,-61.79000000000815
2022-01-01,3078.74,0.0,0.0,65000.0,68078.74,17.40000000000873
2022-02-01,2101.13,0.0,0.0,66000.0,68101.13,22.389999999999418
2022-03-01,2182.7,0.0,0.0,66000.0,68182.7,81.56999999999243
2022-04-01,1431.28,0.0,0.0,67000.0,68431.28,248.58000000000175
2022-05-01,1754.92,0.0,0.0,68000.0,69754.92,1323.6399999999994
2022-06-01,1874.95,0.0,0.0,69000.0,70874.95,1120.0299999999988
2022-07-01,1937.76,0.0,0.0,71000.0,72937.76,2062.8099999999977
2022-08-01,1287.57,0.0,0.0,73000.0,74287.57,1349.8100000000122
2022-09-01,1616.06,0.0,0.0,74000.0,75616.06,1328.4899999999907
2022-10-01,1952.45,0.0,0.0,75000.0,76952.45,1336.3899999999994
2022-11-01,1311.93,0.0,0.0,77000.0,78311.93,1359.479999999996
2022-12-01,1139.83,0.0,0.0,80000.0,81139.83,2827.9000000000087
2023-01-01,1418.23,0.0,0.0,81000.0,82418.23,1278.3999999999942
2023-02-01,1826.87,0.0,0.0,82000.0,83826.87,1408.6399999999994
2023-03-01,1188.76,0.0,0.0,84000.0,85188.76,1361.8899999999994
2023-04-01,1511.1,0.0,0.0,85000.0,86511.1,1322.340000000011
2023-05-01,1687.39,0.0,0.0,86000.0,87687.39,1176.2899999999936
2023-06-01,1875.83,0.0,0.0,87000.0,88875.83,1188.4400000000023
2023-07-01,1560.58,0.0,0.0,90000.0,91560.58,2684.75
2023-08-01,1810.41,91000.0,0.0,0.0,92810.41,1249.8300000000017
2023-09-01,2195.11,92000.0,0.0,0.0,94195.11,1384.699999999997
2023-10-01,1449.22,94000.0,0.0,0.0,95449.22,1254.1100000000006
2023-11-01,1067.41,96000.0,0.0,0.0,97067.41,1618.1900000000023
2023-12-01,656.78,99000.0,0.0,0.0,99656.78,2589.3699999999953
2024-01-01,1072.5,100000.0,0.0,0.0,101072.5,1415.7200000000012
2024-02-01,876.73,101500.0,0.0,0.0,102376.73,1304.229999999996
2024-03-01,1140.4,102500.0,0.0,0.0,103640.4,1263.6699999999983
2024-04-01,1095.76,104500.0,0.0,0.0,105595.76,1955.3600000000006
2024-05-01,1056.05,106000.0,0.0,0.0,107056.05,1460.2900000000081
2024-06-01,1082.82,106800.0,0.0,0.0,107882.82,826.7700000000041
2024-07-01,1230.75,109500.0,0.0,0.0,110730.75,2847.929999999993
2024-08-01,787.19,112660.0,0.0,0.0,113447.19,2716.4400000000023
2024-09-01,1339.13,113660.0,0.0,0.0,114999.13,1551.9400000000023
2024-10-01,215.84,116500.0,0.0,0.0,116715.84,1716.7099999999919
2024-11-01,683.08,123500.0,0.0,0.0,124183.08,7467.240000000005
2024-12-01,932.17,126500.0,0.0,0.0,127432.17,3249.0899999999965
2025-01-01,928.01,128000.0,0.0,0.0,128928.01,1495.8399999999965
2025-02-01,400.35,131000.0,0.0,0.0,131400.35,2472.340000000011
2025-03-01,350.28,132000.0,0.0,0.0,132350.28,949.929999999993
2025-04-01,684.82,133500.0,0.0,0.0,134184.82,1834.5400000000081
2025-05-01,637.99,135500.0,0.0,0.0,136137.99,1953.1699999999837
2025-06-01,1341.74,137000.0,0.0,0.0,138341.74,2203.75
2025-07-01,1219.85,137000.0,0.0,0.0,138219.85,-121.88999999998487
2025-08-01,1215.25,137000.0,0.0,0.0,138215.25,-4.600000000005821
2025-09-01,1860.42,138000.0,0.0,0.0,139860.42,1645.1700000000128
2025-10-01,2556.83,139000.0,0.0,0.0,141556.83,1696.4099999999744
2025-11-01,2403.26,141000.0,0.0,0.0,143403.26,1846.4300000000221
2025-12-01,2473.39,143000.0,0.0,0.0,145473.39,2070.1300000000047
2026-01-01,317.5699999999997,147000.0,0.0,0.0,147317.57,1844.179999999993
2026-02-01,629.27,148500.0,0.0,0.0,149129.27,1811.6999999999825
2026-03-01,597.63,150500.0,0.0,0.0,151097.63,1968.3600000000151
2026-04-01,416.51,123000.0,0.0,0.0,123416.51,-27681.12000000001
2026-05-01,946.69,74000.0,50000.0,0.0,124946.69,1530.1800000000076
